Path_Type,Stake_Percent,Test_Run,Result,Finalization_Time,Round_Count
fast,80,1,SUCCESS,1,1
fast,80,2,SUCCESS,1,1
fast,80,3,SUCCESS,1,1
fast,80,4,SUCCESS,1,1
fast,80,5,SUCCESS,1,1
fast,80,6,SUCCESS,1,1
fast,80,7,SUCCESS,1,1
fast,80,8,SUCCESS,1,1
fast,80,9,SUCCESS,1,1
fast,80,10,SUCCESS,1,1
fast,80,11,SUCCESS,1,1
fast,80,12,SUCCESS,1,1
fast,80,13,SUCCESS,1,1
fast,80,14,SUCCESS,1,1
fast,80,15,SUCCESS,1,1
fast,80,16,SUCCESS,1,1
fast,80,17,SUCCESS,1,1
fast,80,18,SUCCESS,1,1
fast,80,19,SUCCESS,1,1
fast,80,20,SUCCESS,1,1
fast,80,21,SUCCESS,1,1
fast,80,22,SUCCESS,1,1
fast,80,23,SUCCESS,1,1
fast,80,24,SUCCESS,1,1
fast,80,25,SUCCESS,1,1
fast,80,26,SUCCESS,1,1
fast,80,27,SUCCESS,1,1
fast,80,28,SUCCESS,1,1
fast,80,29,SUCCESS,1,1
fast,80,30,SUCCESS,1,1
fast,80,31,SUCCESS,1,1
fast,80,32,SUCCESS,1,1
fast,80,33,SUCCESS,1,1
fast,80,34,SUCCESS,1,1
fast,80,35,SUCCESS,1,1
fast,80,36,SUCCESS,1,1
fast,80,37,SUCCESS,1,1
fast,80,38,SUCCESS,1,1
fast,80,39,SUCCESS,1,1
fast,80,40,SUCCESS,1,1
fast,80,41,SUCCESS,1,1
fast,80,42,SUCCESS,1,1
