Adversary_Stake,Test_Run,Result,Certificates_Formed
20,65,SUCCESS,
20,66,SUCCESS,
20,67,SUCCESS,
20,68,SUCCESS,
20,69,SUCCESS,
20,70,SUCCESS,
20,71,SUCCESS,
20,72,SUCCESS,
20,73,SUCCESS,
20,74,SUCCESS,
20,75,SUCCESS,
20,76,SUCCESS,
20,77,SUCCESS,
20,78,SUCCESS,
20,79,SUCCESS,
20,80,SUCCESS,
20,81,SUCCESS,
20,82,SUCCESS,
20,83,SUCCESS,
20,84,SUCCESS,
20,85,SUCCESS,
20,86,SUCCESS,
20,87,SUCCESS,
20,88,SUCCESS,
20,89,SUCCESS,
20,90,SUCCESS,
20,91,SUCCESS,
20,92,SUCCESS,
20,93,SUCCESS,
20,94,SUCCESS,
20,95,SUCCESS,
20,96,SUCCESS,
20,97,SUCCESS,
20,98,SUCCESS,
20,99,SUCCESS,
20,100,SUCCESS,
25,1,SUCCESS,
25,2,SUCCESS,
25,3,SUCCESS,
25,4,SUCCESS,
25,5,SUCCESS,
25,6,SUCCESS,
25,7,SUCCESS,
25,8,SUCCESS,
25,9,SUCCESS,
25,10,SUCCESS,
25,11,SUCCESS,
25,12,SUCCESS,
25,13,SUCCESS,
25,14,SUCCESS,
25,15,SUCCESS,
25,16,SUCCESS,
25,17,SUCCESS,
25,18,SUCCESS,
25,19,SUCCESS,
25,20,SUCCESS,
25,21,SUCCESS,
25,22,SUCCESS,
25,23,SUCCESS,
25,24,SUCCESS,
25,25,SUCCESS,
25,26,SUCCESS,
25,27,SUCCESS,
25,28,SUCCESS,
25,29,SUCCESS,
25,30,SUCCESS,
25,31,SUCCESS,
25,32,SUCCESS,
25,33,SUCCESS,
25,34,SUCCESS,
25,35,SUCCESS,
25,36,SUCCESS,
25,37,SUCCESS,
25,38,SUCCESS,
25,39,SUCCESS,
25,40,SUCCESS,
25,41,SUCCESS,
25,42,SUCCESS,
25,43,SUCCESS,
25,44,SUCCESS,
25,45,SUCCESS,
25,46,SUCCESS,
25,47,SUCCESS,
25,48,SUCCESS,
25,49,SUCCESS,
25,50,SUCCESS,
25,51,SUCCESS,
25,52,SUCCESS,
25,53,SUCCESS,
25,54,SUCCESS,
25,55,SUCCESS,
25,56,SUCCESS,
25,57,SUCCESS,
25,58,SUCCESS,
25,59,SUCCESS,
25,60,SUCCESS,
25,61,SUCCESS,
25,62,SUCCESS,
25,63,SUCCESS,
25,64,SUCCESS,
25,65,SUCCESS,
25,66,SUCCESS,
25,67,SUCCESS,
25,68,SUCCESS,
25,69,SUCCESS,
25,70,SUCCESS,
25,71,SUCCESS,
25,72,SUCCESS,
25,73,SUCCESS,
25,74,SUCCESS,
25,75,SUCCESS,
25,76,SUCCESS,
25,77,SUCCESS,
25,78,SUCCESS,
25,79,SUCCESS,
25,80,SUCCESS,
25,81,SUCCESS,
25,82,SUCCESS,
25,83,SUCCESS,
25,84,SUCCESS,
25,85,SUCCESS,
25,86,SUCCESS,
25,87,SUCCESS,
25,88,SUCCESS,
25,89,SUCCESS,
25,90,SUCCESS,
25,91,SUCCESS,
25,92,SUCCESS,
25,93,SUCCESS,
25,94,SUCCESS,
25,95,SUCCESS,
25,96,SUCCESS,
25,97,SUCCESS,
25,98,SUCCESS,
25,99,SUCCESS,
25,100,SUCCESS,
30,1,SUCCESS,
30,2,SUCCESS,
30,3,SUCCESS,
30,4,SUCCESS,
30,5,SUCCESS,
30,6,SUCCESS,
30,7,SUCCESS,
30,8,SUCCESS,
30,9,SUCCESS,
30,10,SUCCESS,
30,11,SUCCESS,
30,12,SUCCESS,
30,13,SUCCESS,
30,14,SUCCESS,
30,15,SUCCESS,
30,16,SUCCESS,
30,17,SUCCESS,
30,18,SUCCESS,
30,19,SUCCESS,
30,20,SUCCESS,
30,21,SUCCESS,
30,22,SUCCESS,
30,23,SUCCESS,
30,24,SUCCESS,
30,25,SUCCESS,
30,26,SUCCESS,
30,27,SUCCESS,
30,28,SUCCESS,
30,29,SUCCESS,
30,30,SUCCESS,
30,31,SUCCESS,
30,32,SUCCESS,
30,33,SUCCESS,
30,34,SUCCESS,
30,35,SUCCESS,
30,36,SUCCESS,
30,37,SUCCESS,
30,38,SUCCESS,
30,39,SUCCESS,
30,40,SUCCESS,
