Test_Type,Node_Count,Fanout,Test_Run,Result,Details
stake_weighted,10,3,2,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,3,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,4,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,5,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,6,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,7,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,8,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,9,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,10,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,11,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,12,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,13,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,14,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,15,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,16,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,17,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,18,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,19,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,20,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,21,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,22,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,23,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,24,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,25,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,26,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,27,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,28,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,29,SUCCESS,Valid stake-weighted selection
stake_weighted,10,3,30,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,1,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,2,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,3,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,4,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,5,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,6,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,7,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,8,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,9,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,10,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,11,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,12,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,13,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,14,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,15,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,16,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,17,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,18,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,19,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,20,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,21,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,22,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,23,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,24,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,25,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,26,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,27,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,28,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,29,SUCCESS,Valid stake-weighted selection
stake_weighted,20,3,30,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,1,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,2,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,3,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,4,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,5,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,6,SUCCESS,Valid stake-weighted selection
