Test_Type,Window_Size,Test_Run,Result,Details
window,20,20,SUCCESS,Valid window management
window,20,21,SUCCESS,Valid window management
window,20,22,SUCCESS,Valid window management
window,20,23,SUCCESS,Valid window management
window,20,24,SUCCESS,Valid window management
window,20,25,SUCCESS,Valid window management
window,20,26,SUCCESS,Valid window management
window,20,27,SUCCESS,Valid window management
window,20,28,SUCCESS,Valid window management
window,20,29,SUCCESS,Valid window management
window,20,30,SUCCESS,Valid window management
badwindow,10,1,SUCCESS,Valid BadWindow management
badwindow,10,2,SUCCESS,Valid BadWindow management
badwindow,10,3,SUCCESS,Valid BadWindow management
badwindow,10,4,SUCCESS,Valid BadWindow management
badwindow,10,5,SUCCESS,Valid BadWindow management
badwindow,10,6,SUCCESS,Valid BadWindow management
badwindow,10,7,SUCCESS,Valid BadWindow management
badwindow,10,8,SUCCESS,Valid BadWindow management
badwindow,10,9,SUCCESS,Valid BadWindow management
badwindow,10,10,SUCCESS,Valid BadWindow management
badwindow,10,11,SUCCESS,Valid BadWindow management
badwindow,10,12,SUCCESS,Valid BadWindow management
badwindow,10,13,SUCCESS,Valid BadWindow management
badwindow,10,14,SUCCESS,Valid BadWindow management
badwindow,10,15,SUCCESS,Valid BadWindow management
badwindow,10,16,SUCCESS,Valid BadWindow management
badwindow,10,17,SUCCESS,Valid BadWindow management
badwindow,10,18,SUCCESS,Valid BadWindow management
badwindow,10,19,SUCCESS,Valid BadWindow management
badwindow,10,20,SUCCESS,Valid BadWindow management
badwindow,10,21,SUCCESS,Valid BadWindow management
badwindow,10,22,SUCCESS,Valid BadWindow management
badwindow,10,23,SUCCESS,Valid BadWindow management
badwindow,10,24,SUCCESS,Valid BadWindow management
badwindow,10,25,SUCCESS,Valid BadWindow management
badwindow,10,26,SUCCESS,Valid BadWindow management
badwindow,10,27,SUCCESS,Valid BadWindow management
badwindow,10,28,SUCCESS,Valid BadWindow management
badwindow,10,29,SUCCESS,Valid BadWindow management
badwindow,10,30,SUCCESS,Valid BadWindow management
badwindow,10,31,SUCCESS,Valid BadWindow management
badwindow,10,32,SUCCESS,Valid BadWindow management
badwindow,10,33,SUCCESS,Valid BadWindow management
badwindow,10,34,SUCCESS,Valid BadWindow management
badwindow,10,35,SUCCESS,Valid BadWindow management
badwindow,10,36,SUCCESS,Valid BadWindow management
badwindow,10,37,SUCCESS,Valid BadWindow management
badwindow,10,38,SUCCESS,Valid BadWindow management
badwindow,10,39,SUCCESS,Valid BadWindow management
badwindow,10,40,SUCCESS,Valid BadWindow management
badwindow,10,41,SUCCESS,Valid BadWindow management
badwindow,10,42,SUCCESS,Valid BadWindow management
badwindow,10,43,SUCCESS,Valid BadWindow management
badwindow,10,44,SUCCESS,Valid BadWindow management
badwindow,10,45,SUCCESS,Valid BadWindow management
badwindow,10,46,SUCCESS,Valid BadWindow management
badwindow,10,47,SUCCESS,Valid BadWindow management
badwindow,10,48,SUCCESS,Valid BadWindow management
badwindow,10,49,SUCCESS,Valid BadWindow management
badwindow,10,50,SUCCESS,Valid BadWindow management
failure,10,1,SUCCESS,Valid failure handling
failure,10,2,SUCCESS,Valid failure handling
failure,10,3,SUCCESS,Valid failure handling
failure,10,4,SUCCESS,Valid failure handling
failure,10,5,SUCCESS,Valid failure handling
failure,10,6,SUCCESS,Valid failure handling
failure,10,7,SUCCESS,Valid failure handling
failure,10,8,SUCCESS,Valid failure handling
failure,10,9,SUCCESS,Valid failure handling
failure,10,10,SUCCESS,Valid failure handling
failure,10,11,SUCCESS,Valid failure handling
failure,10,12,SUCCESS,Valid failure handling
failure,10,13,SUCCESS,Valid failure handling
failure,10,14,SUCCESS,Valid failure handling
failure,10,15,SUCCESS,Valid failure handling
failure,10,16,SUCCESS,Valid failure handling
failure,10,17,SUCCESS,Valid failure handling
failure,10,18,SUCCESS,Valid failure handling
failure,10,19,SUCCESS,Valid failure handling
failure,10,20,SUCCESS,Valid failure handling
failure,10,21,SUCCESS,Valid failure handling
